system,index,sari,fkgl,bertscore_raw,bertscore_rescaled,bertscore_singleref_raw
identity,98,45.70362802474583,13.063333333333333,96.31000757217407,78.13652157783508,92.35318899154663
identity,99,55.71800592821107,11.91,99.42453503608704,96.59032821655273,98.75205755233765
identity,100,54.5155579854301,8.028333333333332,99.17327761650085,95.10160684585571,96.87805771827698
identity,101,53.775494507365316,10.434615384615388,99.26742315292358,95.65942883491516,96.58511877059937
identity,102,55.64688180974938,10.500000000000004,99.26557540893555,95.64847946166992,95.4529345035553
identity,103,54.02144822533028,14.312857142857148,98.37417602539062,90.36687016487122,94.12497878074646
identity,104,54.03922531092093,6.790000000000003,98.2154905796051,89.42664861679077,98.21549654006958
identity,105,51.00403744413412,14.60666666666667,98.24239611625671,89.58606719970703,98.24239611625671
identity,106,46.54152656137804,10.73,99.22547340393066,95.4108715057373,99.22547340393066
identity,107,51.340986267770006,11.3,99.26338791847229,95.63552141189575,96.7625081539154
identity,108,53.04574099901854,7.633846153846157,99.39023852348328,96.38711810112,94.83964443206787
identity,109,54.56100367640874,16.825000000000006,98.65305423736572,92.01924800872803,93.69345903396606
identity,110,55.88242980617887,13.732592592592596,99.44077730178833,96.68656587600708,94.84593272209167
identity,111,58.401865298683745,12.875652173913043,99.35883283615112,96.2010383605957,96.7938780784607
identity,112,60.13354243878315,9.209473684210526,99.54584836959839,97.3091185092926,99.54584836959839
identity,113,54.800237067500504,18.08714285714286,99.09675121307373,94.64818239212036,96.36915326118469
identity,114,57.08860003118848,9.740000000000002,98.31899404525757,90.03991484642029,94.86177563667297
identity,115,54.72881401899864,13.901739130434787,99.17576313018799,95.11633515357971,96.19256854057312
identity,116,48.94867778799858,9.740000000000002,98.43538403511047,90.72953462600708,94.56982612609863
identity,117,47.66254555344662,9.79739130434783,97.15874195098877,83.1653356552124,95.57535648345947
identity,118,49.28124913808623,19.682926829268293,97.67773151397705,86.24038696289062,94.63776350021362
identity,119,55.45309923234899,8.383333333333333,100.0,100.0,92.13123321533203
identity,120,54.88428874734607,13.09,99.1153359413147,94.7583019733429,94.17253136634827
identity,121,57.30903903375536,11.090000000000003,98.99238348007202,94.02979612350464,94.36849355697632
identity,122,51.39423484344796,7.471818181818183,96.90189361572266,81.64348602294922,92.9347276687622
identity,123,59.244945885199016,11.169411764705881,98.0070412158966,88.19156885147095,92.11446046829224
identity,124,53.7893590920594,11.470000000000002,99.54052567481995,97.27758169174194,95.2811598777771
identity,125,53.656748971126234,11.3,99.13887977600098,94.89780068397522,93.1111752986908
identity,126,49.327968044998364,11.784285714285716,98.61298203468323,91.78181290626526,91.77416563034058
identity,127,51.42282601955007,12.828571428571426,98.58242869377136,91.60078167915344,97.2729504108429
identity,128,53.069442665566136,13.372727272727271,97.47689366340637,85.05040407180786,95.49760222434998
identity,129,57.677004514296,15.370000000000001,98.66203665733337,92.07246899604797,98.66203665733337
identity,130,52.666557938681265,11.3,98.98875951766968,94.00832653045654,97.10752367973328
identity,131,55.62917970150604,8.412857142857145,99.08472895622253,94.57694888114929,97.87694215774536
identity,132,52.36967765142539,10.486666666666668,98.86636734008789,93.28314065933228,94.99037265777588
identity,133,44.080029273752636,12.831111111111113,99.01371002197266,94.15615797042847,94.76749300956726
identity,134,54.35741709444996,11.169411764705881,99.71790909767151,98.3285903930664,93.52719187736511
identity,135,52.15983349070732,8.412857142857145,97.46262431144714,84.96586084365845,94.51751708984375
identity,136,52.99016777575254,13.928333333333335,99.60639476776123,97.66786098480225,97.2249448299408
identity,137,58.99019911030493,7.346315789473689,100.0,100.0,96.89024686813354
identity,138,55.18312408944978,5.361176470588237,99.65351223945618,97.94703125953674,99.65351223945618
identity,139,50.93666531533108,16.334615384615386,99.40813183784485,96.49313688278198,93.17509531974792
identity,140,56.53495440729483,9.457142857142859,99.20106530189514,95.26625275611877,99.20107126235962
identity,141,57.64649793906004,11.470000000000002,99.62639808654785,97.78637886047363,98.94001483917236
identity,142,54.68416585358115,8.89777777777778,99.41558241844177,96.53728008270264,96.91498875617981
identity,143,54.66165559417585,6.507777777777779,98.49512577056885,91.08350872993469,97.49061465263367
identity,144,54.77757560054489,7.346315789473689,99.30788278579712,95.8991527557373,93.72391104698181
identity,145,56.984895451891994,9.79739130434783,99.53768849372864,97.2607672214508,97.28552103042603
identity,146,53.19287773674505,11.3,98.9722490310669,93.9104974269867,97.39667177200317
identity,147,53.03386217593737,19.63714285714286,99.0780770778656,94.5375382900238,92.98595786094666
identity,148,53.31168844933066,12.26666666666667,99.23579096794128,95.47200202941895,93.94788146018982
identity,149,56.03422732796973,12.316666666666666,99.03936982154846,94.30819749832153,94.91975903511047
identity,150,52.52460705137375,13.872857142857146,97.1801221370697,83.29201340675354,90.78764319419861
identity,151,53.88339473260765,9.081818181818182,97.43868708610535,84.8240315914154,95.67243456840515
identity,152,50.26877357143046,11.849565217391305,98.81259799003601,92.96455383300781,95.73981761932373
identity,153,54.51855308517657,13.718888888888891,98.34231734275818,90.17810821533203,97.77508974075317
identity,154,56.61955180897659,16.956666666666667,97.52770066261292,85.35144329071045,93.46505999565125
identity,155,52.12625832776926,9.830526315789477,97.54138588905334,85.43252944946289,93.46268773078918
identity,156,43.94735592720585,18.930000000000003,92.96720623970032,58.330172300338745,92.07073450088501
identity,157,56.75456204360172,15.480740740740742,97.7717638015747,86.79753541946411,95.41257619857788
identity,158,49.42961268590801,16.761904761904763,98.22213053703308,89.465993642807,93.85359287261963
identity,159,54.06399511113227,14.065384615384616,98.69832992553711,92.28751063346863,95.52077651023865
identity,160,53.541464386580316,20.834146341463413,98.87248873710632,93.3194100856781,94.01004314422607
identity,161,50.20412667513728,8.39294117647059,98.58710169792175,91.62847399711609,94.37903165817261
identity,162,49.78880583207406,13.928333333333335,97.14404940605164,83.07827711105347,92.95219779014587
identity,163,54.42479876214815,12.828571428571426,98.61318469047546,91.78301692008972,92.07280278205872
identity,164,57.573676789308436,9.087500000000002,97.47053980827332,85.01275777816772,96.19374871253967
identity,165,51.391402169382694,14.770967741935486,98.81786704063416,92.99577474594116,98.46104979515076
identity,166,55.00519852459941,14.445641025641027,97.9369044303894,87.77600526809692,97.9369044303894
identity,167,58.11682043278282,9.55,99.41498637199402,96.53375148773193,97.80959486961365
identity,168,53.30232380027827,8.541538461538462,98.78798723220825,92.81873106956482,95.31749486923218
identity,169,52.27708745758822,14.203333333333337,99.18029308319092,95.14317512512207,93.50481033325195
identity,170,52.89457673522503,8.350000000000005,98.9492118358612,93.77400279045105,95.8117663860321
identity,171,53.18789460115163,15.3275,98.72276186943054,92.43226647377014,93.87736320495605
identity,172,55.95837832249329,15.220000000000002,99.50202703475952,97.04947471618652,99.50201511383057
identity,173,58.67072825139742,13.945882352941176,99.32093024253845,95.97645998001099,99.12438988685608
identity,174,56.75311049509778,12.703846153846158,99.15425181388855,94.98887658119202,97.44115471839905
identity,175,51.92842988972135,17.66272727272727,98.40086102485657,90.5249834060669,97.38094806671143
identity,176,57.36706552196921,4.91076923076923,98.87566566467285,93.33823323249817,97.0858097076416
identity,177,50.57332046641035,6.8750000000000036,99.25232529640198,95.56997418403625,95.93658447265625
identity,178,53.470785505083164,13.451428571428576,98.40061664581299,90.52353501319885,94.92791891098022
identity,179,53.714403044907414,11.22727272727273,98.47310185432434,90.95301628112793,91.31364822387695
identity,180,51.9649969570431,8.474444444444444,97.57983684539795,85.66035032272339,97.53604531288147
identity,181,55.86221878173442,10.500000000000004,98.30129742622375,89.93505835533142,97.74169921875
identity,182,56.87497986358474,8.73,99.20631051063538,95.29733061790466,94.2557156085968
identity,183,44.031432605748925,10.451578947368422,95.40610909461975,72.78085350990295,93.10373067855835
identity,184,50.58904608951924,10.350000000000001,97.9168176651001,87.65698671340942,97.91682362556458
identity,185,58.03251601117218,9.457142857142859,98.44713807106018,90.79917669296265,97.14359045028687
identity,186,55.43439503662473,7.612500000000001,98.73603582382202,92.51092076301575,98.73602986335754
identity,187,52.51970950504212,20.73888888888889,98.28985333442688,89.86725211143494,98.28985333442688
identity,188,58.55040368920894,14.444545454545459,99.52264428138733,97.17163443565369,89.53236937522888
identity,189,45.21558022819881,5.230000000000004,95.49669623374939,73.31758737564087,95.49669623374939
identity,190,53.89168838872786,6.727142857142859,98.35945963859558,90.2796745300293,93.4577226638794
identity,191,56.69093591429494,9.740000000000002,99.39647912979126,96.42409086227417,94.38620805740356
identity,192,56.73487640740289,6.310588235294119,97.68314957618713,86.27249002456665,97.38945364952087
identity,193,60.102528096829175,9.457142857142859,99.71377849578857,98.30411672592163,98.47360253334045
identity,194,56.23845947214924,11.706666666666667,99.99998807907104,99.99992847442627,99.99999403953552
identity,195,59.21923014301262,11.096666666666668,98.63536357879639,91.91442728042603,98.30825328826904
identity,196,52.732930856697145,12.935789473684213,99.0242063999176,94.21834945678711,95.47044038772583
identity,197,48.06873519198015,8.366666666666667,98.46889972686768,90.92811942100525,86.86521053314209
identity,198,48.288309762169604,11.264615384615386,98.99367690086365,94.03746128082275,94.26479935646057
identity,199,53.97539916110311,12.26666666666667,99.87001419067383,99.22982454299927,93.1634783744812
identity,200,50.44736570167056,12.26666666666667,99.2754876613617,95.70720791816711,93.58164668083191
identity,201,51.20212734893018,8.370000000000001,98.90122413635254,93.489670753479,97.09489345550537
identity,202,55.96413440500325,2.8566666666666656,99.34486746788025,96.11828923225403,96.35508060455322
identity,203,56.1299706436171,16.40142857142857,99.42657351493835,96.60240411758423,95.91298699378967
identity,204,47.960045399483334,20.411111111111115,98.42950105667114,90.69467782974243,88.95286321640015
